,Emotion,Path
65,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-01-01-02-02.wav
66,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-01-02-01-02.wav
67,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-01-02-02-02.wav
68,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-02-01-01-02.wav
69,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-02-01-02-02.wav
70,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-02-02-01-02.wav
71,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-02-02-02-02-02.wav
72,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-01-01-01-02.wav
73,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-01-01-02-02.wav
74,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-01-02-01-02.wav
75,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-01-02-02-02.wav
76,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-02-01-01-02.wav
77,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-02-01-02-02.wav
78,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-02-02-01-02.wav
79,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-03-02-02-02-02.wav
80,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-01-01-01-02.wav
81,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-01-01-02-02.wav
82,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-01-02-01-02.wav
83,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-01-02-02-02.wav
84,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-02-01-01-02.wav
85,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-02-01-02-02.wav
86,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-02-02-01-02.wav
87,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-04-02-02-02-02.wav
88,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-01-01-01-02.wav
89,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-01-01-02-02.wav
90,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-01-02-01-02.wav
91,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-01-02-02-02.wav
92,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-02-01-01-02.wav
93,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-02-01-02-02.wav
94,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-02-02-01-02.wav
95,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-05-02-02-02-02.wav
96,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-01-01-01-02.wav
97,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-01-01-02-02.wav
98,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-01-02-01-02.wav
99,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-01-02-02-02.wav
100,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-02-01-01-02.wav
101,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-02-01-02-02.wav
102,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-02-02-01-02.wav
103,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-06-02-02-02-02.wav
104,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-01-01-01-02.wav
105,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-01-01-02-02.wav
106,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-01-02-01-02.wav
107,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-01-02-02-02.wav
108,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-02-01-01-02.wav
109,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-02-01-02-02.wav
110,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-02-02-01-02.wav
111,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-07-02-02-02-02.wav
112,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-01-01-01-02.wav
113,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-01-01-02-02.wav
114,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-01-02-01-02.wav
115,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-01-02-02-02.wav
116,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-02-01-01-02.wav
117,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-02-01-02-02.wav
118,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-02-02-01-02.wav
119,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_02\03-01-08-02-02-02-02.wav
120,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-01-01-01-01-03.wav
121,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-01-01-01-02-03.wav
122,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-01-01-02-01-03.wav
123,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-01-01-02-02-03.wav
124,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-01-01-01-03.wav
125,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-01-01-02-03.wav
126,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-01-02-01-03.wav
127,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-01-02-02-03.wav
128,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-02-01-01-03.wav
129,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-02-01-02-03.wav
130,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-02-02-01-03.wav
131,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-02-02-02-02-03.wav
132,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-01-01-01-03.wav
133,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-01-01-02-03.wav
134,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-01-02-01-03.wav
135,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-01-02-02-03.wav
136,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-02-01-01-03.wav
137,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-02-01-02-03.wav
138,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-02-02-01-03.wav
139,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-03-02-02-02-03.wav
140,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-01-01-01-03.wav
141,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-01-01-02-03.wav
142,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-01-02-01-03.wav
143,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-01-02-02-03.wav
144,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-02-01-01-03.wav
145,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-02-01-02-03.wav
146,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-02-02-01-03.wav
147,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-04-02-02-02-03.wav
148,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-01-01-01-03.wav
149,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-01-01-02-03.wav
150,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-01-02-01-03.wav
151,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-01-02-02-03.wav
152,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-02-01-01-03.wav
153,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-02-01-02-03.wav
154,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-02-02-01-03.wav
155,angry,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-05-02-02-02-03.wav
156,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-01-01-01-03.wav
157,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-01-01-02-03.wav
158,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-01-02-01-03.wav
159,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-01-02-02-03.wav
160,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-02-01-01-03.wav
161,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-02-01-02-03.wav
162,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-02-02-01-03.wav
163,fearful,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-06-02-02-02-03.wav
164,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-01-01-01-03.wav
165,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-01-01-02-03.wav
166,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-01-02-01-03.wav
167,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-01-02-02-03.wav
168,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-02-01-01-03.wav
169,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-02-01-02-03.wav
170,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-02-02-01-03.wav
171,disgust,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-07-02-02-02-03.wav
172,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-01-01-01-03.wav
173,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-01-01-02-03.wav
174,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-01-02-01-03.wav
175,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-01-02-02-03.wav
176,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-02-01-01-03.wav
177,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-02-01-02-03.wav
178,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-02-02-01-03.wav
179,surprised,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_03\03-01-08-02-02-02-03.wav
180,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-01-01-01-01-04.wav
181,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-01-01-01-02-04.wav
182,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-01-01-02-01-04.wav
183,neutral,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-01-01-02-02-04.wav
184,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-01-01-01-04.wav
185,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-01-01-02-04.wav
186,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-01-02-01-04.wav
187,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-01-02-02-04.wav
188,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-02-01-01-04.wav
189,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-02-01-02-04.wav
190,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-02-02-01-04.wav
191,calm,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-02-02-02-02-04.wav
192,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-01-01-01-04.wav
193,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-01-01-02-04.wav
194,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-01-02-01-04.wav
195,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-01-02-02-04.wav
196,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-02-01-01-04.wav
197,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-02-01-02-04.wav
198,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-02-02-01-04.wav
199,happy,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-03-02-02-02-04.wav
200,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-01-01-01-04.wav
201,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-01-01-02-04.wav
202,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-01-02-01-04.wav
203,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-01-02-02-04.wav
204,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-02-01-01-04.wav
205,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-02-01-02-04.wav
206,sad,f:\TECHNO\3rd_Sem\ML_project\Datasets\RAVDESS_DATASET\Actor_04\03-01-04-02-02-01-04.wav
